"","position","base","log"
"558",558,"IPPAP-2000/","Il manque les variables importantes dans la base|0"
"559",559,"IPPAP-2005/","Il manque les variables importantes dans la base|0"
"560",560,"IPPAP-2010/","Base bien chargee et en position 127|0"
"561",561,"IPPI-2000-CPF4/","Il manque les variables importantes dans la base|0"
"562",562,"IPPI-2000-EB-CPF5/","Il manque les variables importantes dans la base|0"
"563",563,"IPPI-2000-EC-CPF5/","Il manque les variables importantes dans la base|0"
"564",564,"IPPI-2000-ED-CPF5/","Il manque les variables importantes dans la base|0"
"565",565,"IPPI-2000-EE-CPF5/","Il manque les variables importantes dans la base|0"
"566",566,"IPPI-2000-EF-CPF5/","Il manque les variables importantes dans la base|0"
"567",567,"IPPI-2000-EG-CPF5/","Il manque les variables importantes dans la base|0"
"568",568,"IPPI-2000-MARCHE-INT-CITI3/","Il manque les variables importantes dans la base|0"
"569",569,"IPPI-2000-NES114/","Il manque les variables importantes dans la base|0"
"570",570,"IPPI-2000-NES16/","Il manque les variables importantes dans la base|0"
"571",571,"IPPI-2000-NES36/","Il manque les variables importantes dans la base|0"
"572",572,"IPPI-2000-RGP/","Il manque les variables importantes dans la base|0"
"573",573,"IPPI-2005-ENS-A129/","Il manque les variables importantes dans la base|0"
"574",574,"IPPI-2005-ENS-CPF/","Il manque les variables importantes dans la base|0"
"575",575,"IPPI-2005-ENS-RGP/","Il manque les variables importantes dans la base|0"
"576",576,"IPPI-2005-EXT-A129/","Il manque les variables importantes dans la base|0"
"577",577,"IPPI-2005-EXT-CPF/","Il manque les variables importantes dans la base|0"
"578",578,"IPPI-2005-EXT-RGP/","Il manque les variables importantes dans la base|0"
"579",579,"IPPI-2005-FR-A129/","Il manque les variables importantes dans la base|0"
"580",580,"IPPI-2005-FR-CPF/","Il manque les variables importantes dans la base|0"
"581",581,"IPPI-2005-FR-RGP/","Il manque les variables importantes dans la base|0"
"582",582,"IPPI-2005-IMP-A129/","Il manque les variables importantes dans la base|0"
"583",583,"IPPI-2005-IMP-CPF/","Il manque les variables importantes dans la base|0"
"584",584,"IPPI-2005-IMP-REVENTE-CPF/","Il manque les variables importantes dans la base|0"
"585",585,"IPPI-2005-IMP-RGP/","Il manque les variables importantes dans la base|0"
"586",586,"IPPI-2005-OI-CPF/","Il manque les variables importantes dans la base|0"
"587",587,"IPPI-2010-ENS-A129/","Base bien chargee et en position 128|0"
"588",588,"IPPI-2010-ENS-CPF/","Base bien chargee et en position 129|0"
"589",589,"IPPI-2010-ENS-RGP/","Base bien chargee et en position 130|0"
"590",590,"IPPI-2010-EXT-A129/","Base bien chargee et en position 131|0"
"591",591,"IPPI-2010-EXT-CPF/","Base bien chargee et en position 132|0"
"592",592,"IPPI-2010-EXT-RGP/","Base bien chargee et en position 133|0"
"593",593,"IPPI-2010-FR-PXB-A129/","Base bien chargee et en position 134|0"
"594",594,"IPPI-2010-FR-PXB-CPF/","Base bien chargee et en position 135|0"
"595",595,"IPPI-2010-FR-PXB-RGP/","Base bien chargee et en position 136|0"
"596",596,"IPPI-2010-FR-PXM-A129/","Base bien chargee et en position 137|0"
"597",597,"IPPI-2010-FR-PXM-CPF/","Base bien chargee et en position 138|0"
"598",598,"IPPI-2010-FR-PXM-RGP/","Base bien chargee et en position 139|0"
"599",599,"IPPI-2010-IMP-A129/","Base bien chargee et en position 140|0"
"600",600,"IPPI-2010-IMP-CPF/","Base bien chargee et en position 141|0"
"601",601,"IPPI-2010-IMP-RGP/","Base bien chargee et en position 142|0"
"602",602,"IPPI-2010-OI-CPF/","Base bien chargee et en position 143|0"
"603",603,"IPPI-2010-OI-RGP/","Base bien chargee et en position 144|0"
"604",604,"IPPS-2000/","Il manque les variables importantes dans la base|0"
"605",605,"IPPS-2005/","Il manque les variables importantes dans la base|0"
"606",606,"IPPS-2010-B2A-A129/","n'est pas mensuelle|0"
"607",607,"IPPS-2010-B2A-NAF/","n'est pas mensuelle|0"
"608",608,"IPPS-2010-B2A-RGP/","n'est pas mensuelle|0"
"609",609,"IPPS-2010-B2B-PXB-A129/","n'est pas mensuelle|0"
"610",610,"IPPS-2010-B2B-PXB-NAF/","n'est pas mensuelle|0"
"611",611,"IPPS-2010-B2B-PXB-RGP/","n'est pas mensuelle|0"
"612",612,"IPPS-2010-B2B-PXM-A129/","n'est pas mensuelle|0"
"613",613,"IPPS-2010-B2B-PXM-NAF/","n'est pas mensuelle|0"
"614",614,"IPPS-2010-B2B-PXM-RGP/","n'est pas mensuelle|0"
"615",615,"IPPS-2010-B2C-CPF/","n'est pas mensuelle|0"
"616",616,"IPPS-2010-B2C-RGP/","n'est pas mensuelle|0"
"617",617,"IPPS-2010-B2E-A129/","n'est pas mensuelle|0"
"618",618,"IPPS-2010-B2E-NAF/","n'est pas mensuelle|0"
"619",619,"IPPS-2010-B2E-RGP/","n'est pas mensuelle|0"
"620",620,"IRL/","n'est pas mensuelle|0"
"621",621,"IRL-2005/","Il manque les variables importantes dans la base|0"
"622",622,"LICENCES-SPORTIVES-DEP/","n'est pas mensuelle|0"
"623",623,"LICENCES-SPORTIVES-REG/","n'est pas mensuelle|0"
"624",624,"LIVRAISON-CARBURANTS/","Base bien chargee et en position 145|0"
"625",625,"LOG-SOC-DEP/","n'est pas mensuelle|0"
"626",626,"LOG-SOC-REG/","n'est pas mensuelle|0"
"627",627,"LOGEMENT-CARAC/","Il manque les variables importantes dans la base|0"
"628",628,"LOGEMENT-PARC/","n'est pas mensuelle|0"
"629",629,"LOGEMENT-RESPRINC-STATUT/","n'est pas mensuelle|0"
"630",630,"LOGEMENT-RESPRINC-TUU/","n'est pas mensuelle|0"
"631",631,"MONNAIE-COURS-EUR/","Base bien chargee et en position 146|0"
"632",632,"NAISSANCES/","Base bien chargee et en position 147|0"
"633",633,"NMU-MOH-DEP/","n'est pas mensuelle|0"
"634",634,"NMU-MOH-REG/","n'est pas mensuelle|0"
"635",635,"NUPTIALITE/","Base bien chargee et en position 148|0"
"636",636,"NUPTIALITE-DEP/","n'est pas mensuelle|0"
"637",637,"NUPTIALITE-REG/","n'est pas mensuelle|0"
"638",638,"OCC-SOL-DEP/","n'est pas mensuelle|0"
"639",639,"OCC-SOL-REG/","n'est pas mensuelle|0"
"640",640,"OE-DEP/","plus d'observation|0"
"641",641,"OE-QUALIF/","Base bien chargee et en position 149|0"
"642",642,"OE-REG/","presence de la variable region|0"
"643",643,"OE-TYPE-STATUT/","Base bien chargee et en position 150|0"
"644",644,"PGA-DIVERS/","Il manque les variables importantes dans la base|0"
"645",645,"PGA-LAIT-FRUIT-LEGUME/","Il manque les variables importantes dans la base|0"
"646",646,"PGA-PROD-ANIMAUX/","Il manque les variables importantes dans la base|0"
"647",647,"PGA-VIANDE-POISSON/","Il manque les variables importantes dans la base|0"
"648",648,"POP-EVO/","Base bien chargee et en position 151|0"
"649",649,"POP-RP-DEP/","Il manque les variables importantes dans la base|0"
"650",650,"POP-RP-DOM/","Il manque les variables importantes dans la base|0"
"651",651,"POP-RP-REG/","Il manque les variables importantes dans la base|0"
"652",652,"POP-SEXE-AGE/","n'est pas mensuelle|0"
"653",653,"POPACT-AN/","n'est pas mensuelle|0"
"654",654,"PRESSE/","Il manque les variables importantes dans la base|0"
"655",655,"PRIX-CONSO-BOISSON/","Base bien chargee et en position 152|0"
"656",656,"PRIX-CONSO-CEREALE/","Base bien chargee et en position 153|0"
"657",657,"PRIX-CONSO-FLEUR/","Base bien chargee et en position 154|0"
"658",658,"PRIX-CONSO-FRANCS/","Il manque les variables importantes dans la base|0"
"659",659,"PRIX-CONSO-FRUIT/","Base bien chargee et en position 155|0"
"660",660,"PRIX-CONSO-LAIT/","Base bien chargee et en position 156|0"
"661",661,"PRIX-CONSO-LEGUME/","Base bien chargee et en position 157|0"
"662",662,"PRIX-CONSO-LOGEMENT/","Base bien chargee et en position 158|0"
"663",663,"PRIX-CONSO-MER/","Base bien chargee et en position 159|0"
"664",664,"PRIX-CONSO-REST-HOT/","Base bien chargee et en position 160|0"
"665",665,"PRIX-CONSO-SERVICE/","Base bien chargee et en position 161|0"
"666",666,"PRIX-CONSO-SOIN/","Base bien chargee et en position 162|0"
"667",667,"PRIX-CONSO-VIANDE/","Base bien chargee et en position 163|0"
"668",668,"PROD-AUTO/","Base bien chargee et en position 164|0"
"669",669,"PROD-VEG-DOM-DEP/","n'est pas mensuelle|0"
"670",670,"PROD-VEG-MET-DEP/","n'est pas mensuelle|0"
"671",671,"PROD-VEG-MET-REG/","n'est pas mensuelle|0"
"672",672,"RET-BEN-DEP/","n'est pas mensuelle|0"
"673",673,"RET-BEN-REG/","n'est pas mensuelle|0"
"674",674,"REU-BAC-DEP/","n'est pas mensuelle|0"
"675",675,"REU-BAC-REG/","n'est pas mensuelle|0"
"676",676,"REVENUS-MEN-DEP/","Il manque les variables importantes dans la base|0"
"677",677,"REVENUS-MEN-REG/","Il manque les variables importantes dans la base|0"
"678",678,"REV_SAL-CS-DEP/","Il manque les variables importantes dans la base|0"
"679",679,"REV_SAL-CS-REG/","Il manque les variables importantes dans la base|0"
"680",680,"REV_SAL-SEXE-DEP/","Il manque les variables importantes dans la base|0"
"681",681,"REV_SAL-SEXE-REG/","Il manque les variables importantes dans la base|0"
"682",682,"RP-COUPLE-AGE/","Il manque les variables importantes dans la base|0"
"683",683,"RP-IMMIG-AGE/","Il manque les variables importantes dans la base|0"
"684",684,"RP-IMMIG-NAISSANCE/","Il manque les variables importantes dans la base|0"
"685",685,"RP-IMMIG-NATIONALITE/","Il manque les variables importantes dans la base|0"
"686",686,"RP-MINEUR-TYPE-FAM/","Il manque les variables importantes dans la base|0"
"687",687,"RP-SEUL-AGE/","Il manque les variables importantes dans la base|0"
"688",688,"RP-STRUCTURE-FAM18/","Il manque les variables importantes dans la base|0"
"689",689,"RP-STRUCTURE-MEN/","Il manque les variables importantes dans la base|0"
"690",690,"RP-TAILLE-MEN/","Il manque les variables importantes dans la base|0"
"691",691,"RR-DEP/","n'est pas mensuelle|0"
"692",692,"RR-REG/","n'est pas mensuelle|0"
"693",693,"SAL-ACEMO-NAF2-A17/","n'est pas mensuelle|0"
"694",694,"SAL-ACEMO-NAF2-A38/","n'est pas mensuelle|0"
"695",695,"SAL-ACEMO-NAF2-RGP/","n'est pas mensuelle|0"
"696",696,"SAL-AN-EQTP-CSP/","Il manque les variables importantes dans la base|0"
"697",697,"SAL-AN-EQTP-DISTRIB/","Il manque les variables importantes dans la base|0"
"698",698,"SAL-AN-IND/","Il manque les variables importantes dans la base|0"
"699",699,"SAL-AN-TC-CSP/","Il manque les variables importantes dans la base|0"
"700",700,"SAL-AN-TC-CSP-ANC/","Il manque les variables importantes dans la base|0"
"701",701,"SAL-AN-TC-DISTRIB/","Il manque les variables importantes dans la base|0"
"702",702,"SAL-AN-TC-EVO/","Il manque les variables importantes dans la base|0"
"703",703,"SAL-COTIS-SOC/","Base bien chargee et en position 165|0"
"704",704,"SAL-FPE-ITGI-2000/","n'est pas mensuelle|0"
"705",705,"SAL-MIN-35H/","Base bien chargee et en position 166|0"
"706",706,"SAM-CSP-DEP/","Il manque les variables importantes dans la base|0"
"707",707,"SAM-CSP-REG/","Il manque les variables importantes dans la base|0"
"708",708,"SAM-SEX-DEP/","Il manque les variables importantes dans la base|0"
"709",709,"SAM-SEX-REG/","Il manque les variables importantes dans la base|0"
"710",710,"SANTE-ACCUEIL-PERS-AGEES-DEP/","n'est pas mensuelle|0"
"711",711,"SANTE-ACCUEIL-PERS-AGEES-REG/","n'est pas mensuelle|0"
"712",712,"SANTE-CAUSES-DECES-DEP/","Il manque les variables importantes dans la base|0"
"713",713,"SANTE-CAUSES-DECES-REG/","Il manque les variables importantes dans la base|0"
"714",714,"SANTE-EQUIP-HOP-DEP/","n'est pas mensuelle|0"
"715",715,"SANTE-EQUIP-HOP-REG/","n'est pas mensuelle|0"
"716",716,"SANTE-EQUIP-SPE-DEP/","n'est pas mensuelle|0"
"717",717,"SANTE-EQUIP-SPE-REG/","n'est pas mensuelle|0"
"718",718,"SANTE-PERSONNELS-DEP/","n'est pas mensuelle|0"
"719",719,"SANTE-PERSONNELS-REG/","n'est pas mensuelle|0"
"720",720,"SITADEL2-LOCAUX-DEP/","plus d'observation|0"
"721",721,"SITADEL2-LOCAUX-REG/","presence de la variable region|0"
"722",722,"SITADEL2-LOGEMENTS-DEP/","plus d'observation|0"
"723",723,"SITADEL2-LOGEMENTS-REG/","presence de la variable region|0"
"724",724,"SSEMP/","n'est pas mensuelle|0"
"725",725,"STRUCTURE-RDB-DEP/","Il manque les variables importantes dans la base|0"
"726",726,"STRUCTURE-RDB-REG/","Il manque les variables importantes dans la base|0"
"727",727,"TAUX-MORTALITE-AGE-DEP/","n'est pas mensuelle|0"
"728",728,"TAUX-MORTALITE-AGE-REG/","n'est pas mensuelle|0"
"729",729,"TAUX-MORTALITE-SEXE-DEP/","n'est pas mensuelle|0"
"730",730,"TAUX-MORTALITE-SEXE-REG/","n'est pas mensuelle|0"
"731",731,"TAUX-NATALITE-AGE-DEP/","n'est pas mensuelle|0"
"732",732,"TAUX-NATALITE-AGE-REG/","n'est pas mensuelle|0"
"733",733,"TAUX-PAUVRETE-AGE-DEP/","Il manque les variables importantes dans la base|0"
"734",734,"TAUX-PAUVRETE-AGE-REG/","Il manque les variables importantes dans la base|0"
"735",735,"TCHOMA-SA-DEP/","n'est pas mensuelle|0"
"736",736,"TCHOMA-SA-REG/","n'est pas mensuelle|0"
"737",737,"TNB-DEP/","n'est pas mensuelle|0"
"738",738,"TNB-REG/","n'est pas mensuelle|0"
"739",739,"TOURISME-AUTRES-FREQ-REG/","n'est pas mensuelle|0"
"740",740,"TOURISME-CAMPING-FREQ-DEP/","n'est pas mensuelle|0"
"741",741,"TOURISME-CAMPING-FREQ-REG/","n'est pas mensuelle|0"
"742",742,"TOURISME-CAMPING-REG/","presence de la variable region|0"
"743",743,"TOURISME-HOTEL-FREQ-DEP/","n'est pas mensuelle|0"
"744",744,"TOURISME-HOTEL-FREQ-REG/","n'est pas mensuelle|0"
"745",745,"TOURISME-HOTEL-REG/","presence de la variable region|0"
"746",746,"TRANSPORT-IPST/","Base bien chargee et en position 167|0"
"747",747,"TRANSPORT-MARCH-RESEAU/","Base bien chargee et en position 168|0"
"748",748,"TRANSPORT-MARCH-TYPE/","Base bien chargee et en position 169|0"
"749",749,"TRANSPORT-VOYAGEURS/","Base bien chargee et en position 170|0"
"750",750,"TXCHO-DEP/","n'est pas mensuelle|0"
"751",751,"TXCHO-REG/","n'est pas mensuelle|0"
"752",752,"TXEMP-AN-FR/","n'est pas mensuelle|0"
"753",753,"TXP-CDE-DEP/","n'est pas mensuelle|0"
"754",754,"TXP-CDE-REG/","n'est pas mensuelle|0"
"755",755,"IPC-2015-COICOP/..FM.","Base bien chargee et en position 171|0"
"756",756,"IPC-2015-COICOP/..FE.","Base bien chargee et en position 172|0"
"757",757,"CNA-2010-ERE-A88/..PCH","n'est pas mensuelle|0"
"758",758,"CNA-2010-ERE-A88/..IPCH","n'est pas mensuelle|0"
"759",759,"CNA-2010-ERE-A88/..VAL","n'est pas mensuelle|0"
"760",760,"CNA-2010-DEP-APU-OP/S13..","n'est pas mensuelle|0"
"761",761,"CNA-2010-DEP-APU-OP/S13111..","n'est pas mensuelle|0"
"762",762,"CNA-2010-DEP-APU-OP/S13112..","n'est pas mensuelle|0"
"763",763,"CNA-2010-CF-BR/...PCH","n'est pas mensuelle|0"
"764",764,"CNA-2010-CF-BR/...VAL","n'est pas mensuelle|0"
